t,x,y,theta,s0,s1,s2,s3,error,P,I,D,pwm_l,pwm_r,vx,omega,on_line,estado,corr_bloqueada
0.45000000000000034,0.8103769765602327,1.322812541510702,-0.9767330583448977,873.0,945.0,214.0,231.0,-1174.1051701281485,-46.96420680512594,-0.0,11.710537656664709,0.75,0.0,0.4714066558671251,-4.85252047027251,True,desviado,False
0.45500000000000035,0.8116764150489294,1.3208470214126238,-1.0012264219570095,744.0,949.0,215.0,230.0,-1064.5463049579046,-42.581852198316184,-0.0,139.66801456395805,0.0,0.75,0.47116134556801015,-4.567302608095996,True,recuperacion,False
0.46000000000000035,0.8129318821949574,1.318854447691491,-1.0174701673346283,723.0,950.0,214.0,226.0,-1053.9517274017983,-42.158069096071934,-0.0,110.48110326209819,0.0,0.75,0.4709421168960481,-2.433268663704835,True,recuperacion,False
0.46500000000000036,0.814162147480537,1.3168473917924273,-1.0248966497471677,835.0,941.0,209.0,218.0,-1172.4920562868815,-46.89968225147526,-0.0,-64.91162237863117,0.75,0.0,0.4707461968275322,-1.258921712793557,True,desviado,False
0.47000000000000036,0.8153771807716822,1.3148321499812752,-1.0341782359167642,891.0,949.0,206.0,226.0,-1205.105633802817,-48.20422535211268,-0.0,-84.57442868416442,0.75,0.0,0.47057110716930584,-2.225785999162449,True,desviado,False
0.47500000000000037,0.8165694492259834,1.3128043169986099,-1.0476957611974316,884.0,930.0,216.0,221.0,-1200.799644602399,-48.03198578409596,-0.0,-54.03491303841345,0.75,0.0,0.4704146332120943,-2.9989580079393194,True,recuperacion,False
0.48000000000000037,0.8177309381666578,1.3107595513324548,-1.0646006383513003,865.0,929.0,220.0,221.0,-1181.65548098434,-47.266219239373605,-0.0,-14.851442785218751,0.75,0.0,0.4702747957166451,-3.6172401842322413,True,recuperacion,False
0.4850000000000004,0.8188550420757638,1.3086947524304746,-1.0842142779335269,900.0,943.0,221.0,223.0,-1203.7603847835592,-48.15041539134237,-0.0,-36.92189450871602,0.75,0.0,0.4701498258783283,-4.111661665069673,True,desviado,False
0.4900000000000004,0.8199362723962459,1.3066078509798107,-1.1059940325719817,871.0,953.0,221.0,225.0,-1176.2114537444934,-47.048458149779734,-0.0,7.213391090777746,0.75,0.0,0.47003814295352514,-4.507035509062977,True,recuperacion,False
0.4950000000000004,0.8209700370996,1.304497624120334,-1.1289737884522677,779.0,955.0,216.0,225.0,-1103.9080459770114,-44.156321839080455,-0.0,91.81346308452282,0.0,0.75,0.4699383342648,-4.291028776053079,True,recuperacion,False
0.5000000000000003,0.8219600907782502,1.3023670245729646,-1.1440071476908855,703.0,958.0,215.0,225.0,-1036.1732508329367,-41.446930033317464,-0.0,145.55117833205566,0.0,0.75,0.4698491373319421,-2.212340869903164,True,recuperacion,False
0.5050000000000003,0.8229259968822619,1.3002258052941806,-1.1504657210641926,821.0,961.0,214.0,225.0,-1141.3777577667718,-45.65511031067087,-0.0,-24.35958348816319,0.75,0.0,0.4697694239028522,-1.0822524650651237,True,desviado,False
0.5100000000000003,0.8238779207925886,1.2980787431003262,-1.158973299767874,900.0,951.0,225.0,225.0,-1195.5671447196871,-47.82268578878749,-0.0,-82.07897278521267,0.75,0.0,0.4696981856822803,-2.084508966717406,True,desviado,False
0.5150000000000003,0.8248074531207417,1.295922264592072,-1.1718718747825456,907.0,961.0,214.0,223.0,-1214.3167028199566,-48.57266811279827,-0.0,-79.95475066997226,0.75,0.0,0.4696345215778978,-2.8859830552913186,True,desviado,False
0.5200000000000004,0.825705793387958,1.2937529395129308,-1.1882817962045293,930.0,952.0,215.0,225.0,-1228.2515073212749,-49.130060292851,-0.0,-72.69009087056246,0.75,0.0,0.46957762630238037,-3.5268975453409337,True,desviado,False
0.5250000000000004,0.8265657520430258,1.2915684111915269,-1.2074996347184237,886.0,960.0,210.0,223.0,-1201.8429135585784,-48.073716542343135,-0.0,-19.19275109415797,0.75,0.0,0.4695267801873269,-4.039417400207928,True,recuperacion,False
0.5300000000000004,0.827381421746796,1.2893672254259145,-1.2284307040723068,774.0,960.0,210.0,233.0,-1090.032154340836,-43.60128617363345,-0.0,120.73798529538021,0.0,0.75,0.4694813400801736,-3.9170887746887564,True,recuperacion,False
0.5350000000000004,0.8281558438219151,1.2871513922057696,-1.2418257909087846,589.0,964.0,219.0,241.0,-888.7232985593641,-35.548931942374566,-0.0,326.0872166445325,0.0,0.75,0.4694407312089563,-1.9133124063504519,True,recuperacion,False
0.5400000000000004,0.8289086211255624,1.2849282953873609,-1.2469742875919667,794.0,966.0,226.0,236.0,-1086.4086408640865,-43.45634563456346,-0.0,-8.96135911449408,0.75,0.0,0.46940443991201936,-0.8431284834411912,True,desviado,False
0.5450000000000004,0.8296496640906953,1.2827014403317079,-1.2544342377500124,801.0,941.0,233.0,236.0,-1086.8385345997285,-43.473541383989144,-0.0,-6.78882386291632,0.75,0.0,0.46937200714070904,-1.893288780156125,True,desviado,False
0.5500000000000004,0.8303697322435284,1.2804678827220612,-1.2664950560303618,813.0,939.0,234.0,232.0,-1103.6970243462579,-44.14788097385031,-0.0,-24.982364399876655,0.75,0.0,0.46934302265286626,-2.733070078933988,True,desviado,False
