hora,test,s0,s1,s2,s3,error,corr,left,right,kp,kd,estado
12:00:11,1,43,160,913,103,-0.64,-0.02,180,179,0.03,0.02,desviado
12:00:11,1,24,39,518,80,0,0,-40,200,0.03,0.02,recuperacion
12:00:11,1,40,887,130,136,0,0,179,180,0.03,0.02,centrado
12:00:11,1,54,825,36,136,0.95,0.03,179,180,0.03,0.02,desviado
12:00:11,1,161,585,23,90,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,473,767,35,127,0.94,0.03,179,180,0.03,0.02,desviado
12:00:11,1,40,23,22,75,0.56,0.01,200,-40,0.03,0.02,recuperacion
12:00:11,1,30,20,20,92,0,0,200,-40,0.03,0.02,recuperacion
12:00:12,1,951,40,31,73,2.47,0.08,179,180,0.03,0.02,vuelta_derecha
12:00:12,1,27,4,25,181,0,0,200,-40,0.03,0.02,recuperacion
12:00:12,1,779,26,19,59,0.77,0.03,179,180,0.03,0.02,centrado
12:00:12,1,33,26,24,108,1.46,0.04,200,-40,0.03,0.02,recuperacion
12:00:12,1,51,54,28,20,0,0,200,-40,0.03,0.02,recuperacion
